tid,PERSON,NORP,ORG,FAC,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORDINAL,CARDINAL
950361,Devender Pal Singh,,Court,,Delhi,,,,Ors ,Article 137 of the Constitution,English,1966,,,,,secondly,one
1877956,R N Keswani,,State,,the State of Kerala,,,,the Judgment and Order,section 10 of the Act,,1986,,90 per cent,,,second,2
890637,Bhagalpur,Muslim,Court,Zila School,Mohalla,the Bhagalpur Town,,the Id festival,Kamlakar Prasad Chaturvedi v State of Madhya Pradesh Anr ,Act,English,1981,next morning,,50 000,,first,2
1006709,Dossibai N B Jeejeebhoy,J ,Court,the Bombay Rents,Tarini,Greater Bombay,,Revision Applications Nos 1428,The Judgment of the Court,Act,,1947,,,4 000,555 sq,second,1
1401520,Sukhdev Singh Sodhi,,Court,the High Court,England,,,,4th Edition,the Contempt of Courts Act,English,1971,,,,,third,3
1656601,Shri K K Bose,K N ,the High Court,A C 495,Orissa,,,the Orissa Superior Judicial Service Rules 1963,Legal Remembrance,Art 235,,1967,,,,,first,1
619152,Subba Rao,American,State,342,India,,,,Judge Frankfurter J ,Art 21,English,1950,night,,,three miles,14th,1
1292463,Bhagat Ram,,Court,,Bhupendra,,,,,Code,,2001,,,25 000,,,416
1589218,Appellant No 1,,Court,Paltan Bazar,Guwahati,,No AS 25 C 1476,The State of Punjab 1959 SCR 1219 ,State of Punjab,Section 313 of the Code of Criminal Procedure,,23,the night,,P W 26,5 ft,first,two
99670896,Advs,,Court,STUDDS Full face Downtown,India,,Visor,,a Beak Shaped ,Act,,1st December 2011,,,fifty thousand rupees,200 ml,second,29
3849421,Gopal Glass Works,Indian,Controller,,India,,Design No 190336,,Gopal Glass Works,Act,English,six months,, ,fifty thousand rupees,,first,67
96706,K Mathew,,the State Government,Kalyani R S,West Bengal,,,,,Sub section 2 of Section 3 of the Maintenance of Intern 1 Security Act,,1975,24 1 1973 night between 01 00 hrs to 02 00,,,,,4 4 1973
743328,Ray,,State,,India,,Cinchona,,In C A No 318 74,the Foreign Exchange Regulations Act,,1974,,,,,third,two
1213021,M s Hari Chand Shri Gopal,,Tribunal,A 11,New Delhi,,Kimam,,Sukha,Chapter X,,2005,,,,2 66 648 800 kgs,first,11 8 1994
1007946,Ramesh,Indian,Court,Kalta Iron Mine,Andhra Pradesh,,,Miscellaneous Cases,Miscellaneous Case Nos 9,Special Leave Petition,English,three years,,,,,4th,2
407511,Nazir Ahmed s,,Court,,Afzalgarh,,,,In re Natesan,the Evidence Act,English,1960,,,,,second,164
102852,Indra Sawhney5,Hindu,State,Level 3,States,,Backward Classes,the Scheduled Castes,M R Balaji Ors V The State of Mysore Ors ,Constitution,,2000,the passing hour,50 ,a cent per cent,,first,16
314044,Bonds,,Bonds,a Constitution Bench,India,,Special Bearer Bonds,the Second World War,Special Bearer Bonds,Act,,1981,,2 per cent,ten thousand rupees,,first,one
81824666,Bellary,,the High Court,,New Delhi,,,,,Act,,monthly,a moment,35 ,less than three hundred rupees,,second,half
757639,Salmond,,the State Legislature,,Maharashtra,,,,Fourth Edition,section 5 E of the Act,,1957,,,less than Rs 1 00 000,,1st,one
1815080,Jagjit Singh,British,the High Court,Santa Cruz airport,Bombay,the Central Jail,,,the Judgment and Order,the Indian Penal Code,,1950,,,12 000,107 2 tolas,first,2
1120137,Taylor,Indian,SEBI,Cappling Street,India,,,the Calcutta District Consumer Disputes Redressal Forum,Offering Circular and the abridged Offering Circular,Act,English,1994,the last minute,75 ,25 000,,first,1
1121229,Rajiyabi Cosman Sayi,,Court,E I Railway,Yeshwantrao,,,,Ors ,the Workmen s Compensation Act,English,years,,,hundred per cent,,second,two
629330,Vyas,,Government,A C 808,P N ,,,,The Queen on the Prosecution of Richard West,Rule 56 of the Fundamental Rules,,March 26 1976,,,,,first,1
424874,Bhagwati,American,State,286,States,the Central Provinces,B 1107,, A ,Act,English,1952,,,30 000,gallon,first,2
67255,Harman,,Karkhandars,,Ludhiana,,9001,,the Hoffmann La Roche,the Copyright Act,,9001,,,,thirty lacs,first,1001
1104701,Benz,Indian,HONDA,,India,Europe,Lego,Schedule to the Trade and Merchandise Marks Rules,Anr ,the Trade and Merchandise Marks Act,English,the year 1999,,,Rs 30 crores,,second,one
1086058,Wright,European,Court,,Wednesbury,,,,Ors ,Article 14,English,1991,,,,,first,2
816271,M Nagaraj s,Scheduled Castes,Court,the Northern Railway,the State of Rajasthan,,Guards Grade A ,Scheduled Castes Scheduled Tribes,the State of Rajasthan Ors,Constitution,,2001,,,,,77th,28 12 2002
1261492,J ,British,State,Madras 460,the State of U P ,,Para 7 09,Civil Revenue Criminal,State Of U P And Ors,Article 14,English,1990,,,,,first,3
317554,Ahmadi,American,the Charity Commissioner,Bar,India,Western India,,Civil Suit No 72,C N I ,Act,,2003,,,,,third,1
307021,J ,J ,Court,SCR 874,India,Juncture,the U S S R ,Independence, Capital Punishment ,Article 19,English,1973,hours,more than 65 per cent,,,first,3
151308629,Glucon,American,the Supreme Court,,Gurgaon,,Glucose D ,Civil Suit No 138,Law of Trade Marks and Trade Names,Section 10 of the Civil Procedure Code,English,2003,,,,,first,18 5 07
214713,Raja Harish Chandra Raj Singh,J ,Collector,,Cochin,,,Civil Appeal No 25 of 1958,the Collector s award,Act,,six months,,,,,first,2
130353321,T S THAKUR,,No 2,the Indore Bench,Madhya Pradesh,,Sumps,,,Article 226,,2011,,60 ,Rs 11 50 crores,Rs 4 35 crores,Firstly,two
1038563,Salim Khan,,Government,the Chetla Central Road,West Bengal,Southend Park,,the B A Part I Examination,,Act,,June 18 1971,about 12 50 p m ,,,,first,two
29023706,Padmini Devi,Sibi accused,Court,Kalathil House,Veliyanad Village,North,A 2,,Exhibit P 3,Section 27 of the Indian Evidence Act,,the fateful day,noon,,Rs 25 000,29 meters,first,2
1643349,Goswami,Japanese,Association,Fairlie Place,Calcutta,East Pakistan,,World War,Cal 154,Clause 12 of the Letters Patent,,March 1 1942,,12 1 2 ,1 lakh,3 ft,third,two
410114,Kanchana,Premlata,PW 6,,Orissa,,A 6,,I P C,section 302,,1992,about 10 to 20 minutes,,PW 6,509 and feet,first,one
165099707,Dicey,British,Court,The Nagpur Bench,India,Kashmir,the Magna Carta,Habeas Corpus,Ors ,Constitution,English,1962,longer than 24 hours,,10 000 dollars,,first,1
187706,Ram Janame Varma,,Union,,Bihar,,A C 777,,,Act,,1948,,,11 000,,first,1
39217891,Ganga Bishan,,Appellants, Haldiram Bhujiawala ,Calcutta,,Haldiram Bhujiawala ,the Hon ble FAO,Yes in the Digest,Order XXXIX Rule 4,English,16th November 1974,10 12 1991, ,10 12 1991,,first,155 1999
1326478,Nos 3,J ,Court,,Mahabaleswarappa,,,the Faslis 1403,Form II,Act,,1997,,,,about 152 acres,third,4
1206795,P M Thakkar,,NIMA,Rangoon 343,A I R ,,Class 3,Appeal Cases,A I R ,Class 7,English,2004,,20 per cent,more than 900 crores,,first,1
261992,S B Sinha,B C B ,Tribunal,,O C ,,OA No 6451,,S T ,Rules,,2004,,30 ,Rs 25 000 Rupees,,second,2
511784,A Misra,,the Assistant Collector Central Excise,,Allahabad,,,,,petition No 1126,,1991,,,,,,two
1405951,Shah,American,Monarch,the Crawford Market,the United Kingdom,,Monarch,the second world war,Monarch,Act,English,1951,,,1895 dollars,,first,two
165968354,Archana Wadhwa,,the Original Authority,,New Delhi,,,,The Commissioner Service Tax Commissionerate,Notification No 12 2003 ST,,1982,,,,,,2
160205361,Lute,,CIC,,Mumbai,,Sl Nos 1,,Letters Patent Appeal No 358,Section 8 1 of the RTI Act,,2012,,,,,third,3
184660633,Holmes J ,American,State,380,India,Gulf Colorado,Dum Dum Factory Raid,,The State of Bombay and Another v F N Balsara,Act,English,1950,,,247 U S 350,,first,one
761967,Muthiah,American,Commission,U S 641,India,,,Civil Appeal No 208,The State of Bombay,Constitution,English,1955,,75 ,5 000,,first,1
471272,J ,,State,SC 61,India,Ajay Hasia,,September 1942 Resolution,The Formation of CSIR,Article 12,English,1860,13 11 1980,32 per cent,Rs 1023 68 crores,,third,12
657557,S U Kamdar,,Court,,Mumbai,,,Resolution,,Writ Petition No 1132,,2002,,,,,,5
179814250,Kadam,,Plaintiff,Palms Hotel ,Mumbai,the Marriot Chennai,Class 35,, Palm Hotel ,Act,,2002,,,,240 acres,first,20
873775,Kedar Nath Gupta,Indian,Registrar,,India,South India,Pepsi,,Black s Law Dictionary 6th Edition P 94,Section 11,English,1942,,,241605,,first,one
1596320,Asok Kumar Ganguly,,Court,,Chandigarh,,,,,hereinafter for short the Act ,,the year 2000,10 00 p m ,,,,Ninth,2
112937069,Sr Advocate,Indian,RFA,,India,,Microfibres,,Suit No 1480 2002,the Designs Act,,2000,,,,,first,25 2006
89164,Plaintiff,French,Plaintiff,Champs Elysees,India,Notting Hill,Anchor,the IVth Schedule to the Trade and Merchandise Marks Rules 1959,Encore,Classes 9 and 11 of the IVth Schedule to the Trademark Rules,Gujarati,1990,,,Rs 1 76 crores,1 000 per,first,two
1297488,Raju Ramachandran,Kuki,Court,,Haryana,the NC Hills,U O No 141 2001,Assembly Election,State of Punjab,Article 136 of the Constitution of India,,one year,three hours,40 ,124 marks,100 meter,first,169
1564015,K L Mehta,K S ,State,,States,,,,W P No 185,Act,,1967,,three per cent,,,second,5
107853771,Allen,,SCRABBLE,U S 916,India,,Scrabulous,,Scrabble,the Copyright Act,,1911,23 17 hrs,,approximately Rs 51 lakhs,,first,344 2008
1278868,P Shanmugam,Indian,Tribunal,the Full Bench,India,,,,,the Indian Companies Act of S S,English,December 12 1963,,25 ,20 000 sterling,,first,1 4th
540642,P Naolekar,,Government,Export Promotion Industrial Park,the State of Tripura,the North Eastern Region,Pan Masala,Inter Departmental Meetings,,Section 7 of the Bihar Finance Act,,a period of 10 years,,less than twenty five per cent,15 00,,first,24 12 1997
911084,Ranka,,Tribunal,,Rajasthan,,,,,Form No 6,,30 9 1985,,,,,,5
1440160,Betaal,Indian,Vetal Betaal,The Hitavada Nagpur ,India,Africa,Phantom,Publication Year, The Phantom , supra ,Hindi,the year 1803,,,5 00 500,,first,two
183600564,K M Shaffi,Gazettes,Court,the Division Bench,Pune,Bipin Shantilal Panchal,P17,,Additional Master No,the Indian Evidence Act,English,2015,long hours,,,,first,3
1033812,S Sen,,the High Court,,,,,,,,,1998,,,,,,1 
759618,Bill,Indian,Appellants,,India,,Parachute,,Cocoraj,Act,English,27th February 2007,,,,,third,2
1861080,J ,,the Public Analyst,,State of Madhya Pradesh,,Saccharan,,Ors ,Rule 7 3 ,,45 days,,,1 000,,first,1
1110013,Acharya,Gaadi,Court,the Vadtal Gaadi,Bhavnagar,Kailash,,SC 1003,Nankhu Ors ,Order VI Rule 17,,2002,,,24 10 2005,,first,1
150473,Lord Denning,,Nankhu,,Nankhu,Kailash,,,,Code,,90 days,,,,,,6
309541,L N Rao,Muslim,Court,SC 180,Orissa,,Annexure P 2,the ICS Examination,the United Nations Handbook on Civil Service Laws and Practice,Rules,,2004,two and a half hours,30 ,100 marks,,first,2
1313207,Jagdish Saran,,Court,,JAGDISH SARAN,,,,,Arbitration Act,,1990,,,,,,1
1307266,Cotspun,,Tribunal,,Coimbatore,,,,Ors ,Section 11A,,six months,,,one crore rupees,,first,two
75646,Ram Ratan Yadav,,the High Court,Raipure Square,Jabalpur,,,,B A ,para 9,Hindi,13,,,,,,12
1151918,Gopal Oil Mills,,Court,,the State of Rajasthan,,,,Anr ,the Rajasthan Sales Tax Act,,1954,2 4 1991,60 ,Rs 7 5 lakhs,,Secondly,7 5 1990
1033637,Kumar Guha,,Court,,Ors ,,,,Ors ,Section 5A,,1964,,,,,second,3
183717026,Vineet Bhagat,,Supreme Court,,Madras,,,,Special Leave to Appeal,The Special Leave Petition,,1 August,12 35 03,,,,,01 08 2014
996328,Nawal Kishore Sinha,J ,Court,Nala Road,Patna,,C F,Annual General Meeting,Ors ,Respondent No 2,Hindi,1947,0600 hrs,,33 96 024 90,,first,2
1989264,Mariarputham,,Government,Punamally Highway road,K K Nagar,,,,W P No 6169,Section 4 1,,March 11 1983,,,1 acre 50 cents,20 acres,first,1
175829,J ,Munsiffs,Commission,,the State of Jammu,Kashmir,,,Ors ,rule 41,,one year,,,75 marks,,first,11
693891,Basak,,the Supreme Court,23A Netaji Subhash Road,Bartaman,,,,110 Comp Cas 429,Section 69 2 of the Partnership Act,,2002,,21 per cent,Rs 47 74 242,,third,two
74028,D P Mohapatra,,the High Court,Nampally Station Road,Abids,,,,,CMA Nos 3251,,22nd September 2000,about 3 30 p m ,,,,second,1
1723469,N Santosh Hegde,,Tribunal,the Karbate Tubes,Bombay,,Karbate Tubes,,Seventh Edition,Chapter 84,,JT 2002,,65 ,68 15,,,1
1900118,A K Kaul,,Court,,India,Special Security District,,,,Article 311,,16th of March 1985,,,,,second,2
188429772,Harish Chandra Ram,,the High Court,Platform No of Asansol Rly,NEW DELHI,,Rs 400,,,the Appellate Authority ,,2011,about 19 00 Hrs ,,100 rupee,,3rd,6
1940266,Shri T L V,,Court,,the State of Kerala,,SC 633,,All England Law Reports 97,Article 136,,1998,,,,1020 acres,Firstly,two
952975,Narayanan Nair,,Court,,Halsbury,,OS 208 77,,Another v Ishwar Chand,Order II Rule 2 of the Code,,1908,,,,,first,one
109700315,Banerjee,,Court,,J ,,,,,APOT No 556,,1999,,,,,,581
27773000,Ghosh,J ,Court,Canal Street,Barthels,Original Side,AC 510,,Ors ,Clause 12 of the Letters Patent,,1908,,,one hundred rupees,,first,two
231341,Sundaram,,the Central Government,,Calcutta,,,,Taking Over Of The Management Of Certain Textile Undertakings,Section 3,,the appointed day,,Rs 12 ,Rs 40 lakhs,,,24 10 1989
885778,Shah Manilal Maganlal,Taluqdari,Government,Ex 181,Ahmedabad,,Rs 290,Resolution No 10795,,Ex 181,English,5th September 1917,,,,,second,225
80498353,Sri Raghuraj Singh,,the District Inspector of Schools,,Manak,,,,M A ,the Act of 1921,,2003,,,,,first,31 1 2003
425153,Denning,Indian,Government,,Bihar,,,,Black s Law Dictionary,Statute,,1995,,fifty per cent,,,,2
135809,Ankur,,the High Court,,Guwahati,,,,,the Special Leave Petition,,the year 1995,evening,,,about one kilometer,second,1
1685319,Shivaraj V Patil,,Supervisors,,India,,,,A A ,the Section Officers Grade Examination,,1996,,80 ,,,Fourth,1 4 1987
1509628,Law,,Commission,the Uttar Pradesh Nyayik Sewa Niyamawali,S C,Fahrenheit,the Scaled Score,the UP Nyayik Sewa Niyamawali,Fundamental Statistics in Psychology and Education,the Judicial Service Rules,English,2003,004998,8 ,zero marks,40 Degrees,first,1
1822024,Sohrab,Hindu,Court,664,India,,,,,section 44 of the Act,English,ILR 1914,,,,,fourth,1
501542,Abhey Ram,,Court,C A 4656 99,Delhi,,CWP 920 86,Civil Appeals 4656,Abhey Rant,section 6,,1968,,12 ,1500,18 biswas,first,18 11 88
152460,Bill,,Railways,the Indian Railway,Poona,,,,the Judgment and Order,the new Act,English,more than six months,,6 ,2 378 65,over 600 tons,second,76
1098305,Kalvert,,Tribunal,,Mumbai,,Kalvert,Central Excise Service Tax,New Improved Quick Frozen French Fries,Section 14 of the Central Excise Act,,1998,,8 ,7 33 668,,,22
1999671,Bench,,Court,a Constitution Bench,India,,,,,Section 11,,thirty days,,,15 000,,third,two
1719469,Law,French,Technip,North s Private International Law,France,,Coflexip,Annual General Meetings,De Beeche,Regulations,English,April 2000,minutes,29 68 ,Euros 119,,first,one
678038,Shri Ganguly,,Tribunal,,Hyderabad,,,, Survey of Indian Handicrafts ,section 11 A of the Act,,1989,,,two thousand rupees,,first,55 75
1483262,Bokaro,,Court,SCR 480,BOKARO,,,,the Umpire on 25 4 1994,Arbitrator,,1940,,,2 44 000,six acres,1st,two
1290723,Mohan Parasaran,Tamil,Parliament,SCR 379,India,,the Mandap Keepers,,Ors ,the Finance Act,,1994,few hours,60 ,,,first,1
81716407,Pinaki Chandra Ghose,,Court,Embassy Centre,Madhavrao,,,,Maksud Saiyed Vs State of Gujrat Ors ,Article 227 of the Constitution of India,,2011,,,Rs 48 99 Lacs,,10th,04 01 2011
188357431,U K Modi,Indian,MMPL,1400 Hemkunt Tower,India,,,the Assessment Year,,the Companies Act,,the year,hours,25 , 30 lakhs,,third,1640
1750914,Doraswami Raju,,Bank,Cathedral Branch,Chennai,,I D No 72,,M M R ,the Factories Act,,the working hours and days,the hours,,Rs 12 50,,third,three
181654439,Adv,M s ,the High Court,Raibagh Sahakari factory,Yadrav,the Belgaun District,Clause 6A,Civil Appeal No 5040,Civil Appeal No 5040 of 2014 Ors,Civil Appeal No 5040,English,2014,15 46 18,,Rs 237 crores,15 km,first,58
82620,Chandra,,Plaintiff,THE PREVENTION OF FOOD ADULTERATION ACT,Ramdev,Ramdev,Atlas,,Atlas,the Companies Act,,1999,,,Rs 50 lakhs,,first,one
620904,Fakhruddin,Fakhruddin,M F Maniyar Sons,No 383,Sholapur,,P W 4,,The Concise Oxford Dictionary,Section 5 of the Explosive Substances Act,English,1981,Next morning,,ten rupee,half kg,first,2
579822,Gill,I A S ,the High Court,,Chandigarh,,,,F I R ,F I R ,English,1989,about 10 minutes,,18 9 1989,about four inches,first,two
1382657,Om Prakash Srivastava,,the Delhi High Court,the State of U P,the State of Uttar Pradesh,,,,Navinchandra N Majithia v State of Maharashtra,Article 226 of the Constitution,,1994,,,,,4th,2
1453719,Sher Singh,Sarpanch,The High Court,,Bagichi,Panchayat,Gandasi,,F I R ,P W 10,,1981,next morning,,,about 4 5 miles,first,two
1134429,Shri Subir Dutta,,the Selection Committee,,Bangalore,,Air Shows,,S L P ,Rules,,2005,,more than 50 ,25 marks,,first,3
155272316,Gannon Dunkerley I3,Australian,Court,Gannon Dunkerley I3,States,,,Raheja Development1,Pollock and Mulla on Sale of Goods,Article 366 29 A,English,2012,,70 ,3 99 28 636,34 acres,first,29
1682715,M K Sharma,,Court,Zig Zag S,India,,Aquafresh Flex N Direct ,,Annexure A,Sections 4 and 19 of the Act,,1999,,,25 000,,,170554
1718159,Juliflora,,Government,Kanpur Canal,Kanpur,North Mopur,PW 6,,PW 8,Section 5 2,,1979 80,,15 ,20000,15 0 to 15 4 mile,Thirdly,1
1132299,J ,Australian,Registrar,Lahore 386,India,Wellworthy,Milkmaid Brand ,, The Three Crowns ,Act,English,1958,,5 per cent,Rs 6 lakhs,,second,two
73583860,Ganesh,,Court,,Bharati,,,,Obligations of the Contractor,clause 9 3,,1994,,five per cent, 18,,first,9 3
820931,G B Pattanaik,,Authority,,Allahabad,,Driver C ,,O A ,the Payment of Wages Act,,July 8 1986,,,Rs 5 000,,,11 10 1996
647343,J ,British,House,the Derwentwater Estate,England,the Southern District,Operation Duryodhan ,Independence of India, A History of English Law ,Constitution,English,1694,a few minutes,5 ,10 000,8 217 tuns,first,two
1616148,Dwivedi,,State,,India,,,,,Rule of Law,,the day,,,,,,1
1703545,C M Lodha,Hungarian,Tribunal,,India,,Theodolite,,Book,Clause 3,English,year 1966 67,,,1 60 000,,first,two
850597,Shah,M ,the High Court,,Allahabad,,,,Das and Ayyangar,Act,,the previous year,,,less than Rs 15 000,,first,3
1659850,S B Sinha,,State,Survey No 267,Vadodara,,,,All ER 593,Section 23 of the Act,,1999,,,10 000,10 807 sq meters,first,15 6 1999
899744,Bridge,European,Court,AC 534,India,,,,All E R 1148,Article 14,English,1983,,75 ,,,secondary,1
1536230,Sastri,,Court,A C 260,States,,,,Words,Act,,1964,,,,,first,20
1988625,Gaddi,Bhaik,Court,the Dohli Dar,Gulabchand,,Gaddi,Regular Second Appeal No 800,State of U P,Section 11 of the Code,,2007,,,,,first,two
1947054,Jagmohan Singh,,the Election Commission,,India,,,,the Symbols Order,Act,,May 5 1980,3 p m ,100 1 d,,,second,1
1611623,Harshad S Mehta,Indian,MUL,Hamam Street Branch,Bombay,,A 5,,I O ,A 5,English,April May 1989,The minutes,21 ,10 83 75 000,35 lakhs,first,one
1224686,K Ramaswamy,Indian,Corporation,447,Woodroffe,,,, The Law Quarterly Review Vol 109,Article 226,,1995,,,,,first,2
344644,J Per Wanchoo,,Government,,Pandavapura,,,,Judgment,Art 294,,the age of 55 years,,50 per cent,,,,1
1939993,J ,J ,Parliament,Bar,India,the Lok Sabha,Articles 31A,World Wars,Ambika Prasad Mishra v State of U P and Ors ,Constitution,,1976,,,,millions of acres,first,2
1662395,Shimla,,the Trial Court,,Tehsildar,,,Khata Khatauni No 45 63,Andhra Weekly Reporter,Issue No 5,,Samvat 2005,,,Rs 6300,,second,one
55517912,Sudhansu Jyoti Mukhopadhaya,,Commission,,Patna,,,,State Examiner of Questioned Documents,Act,,2012,,,,,third,one
108509106,Krishnamurthy,Indian,Court,Sarjapur Main Road,Bangalore,,Ex P 11,,Cl Appeal No 878,Ex P 10,English,2010,,18 ,79 00 000,22 guntas,first,one
67143323,The Hon ble High Curt,Indian,TPO,Grounds No 7,India,,Finacle,,TP Study,Rule 10B 2,,the year,,less than 75 ,353 440,200 crores,third,2
279466,Munsif,,Court,,Jaipur District,,Madh Pra 222,,D H ,the T P Act,,the end of 1970,,,7 314 80,,,3
1014138,Doordarshan,Indian,Board,,India,,,National Film Awards,National Film Awards,Regulation 10,,1952,,,,35 mm,53rd,two
350976,Mohd,,the High Court,,India,,,,,the FERA and Foreign Exchange Management Act,,31st May 2002,,,more than Rupees 270 crores,,,2914
28356393,McQuaid,Indian,Court,,India,,,,Debate on the Bill,Section 13,,19th October 2006,,8 ,12 429 75,,first,3
899181,S Santokh Singh,Indian,Court,Indian Port,US,Indian Ports,Single Judge,Dussehra Diwali festivals,Arbitrators,Agreement,,31st October 1989,,100 ,Rs 5 lakhs,58000 million tonnes,second,two
1979794,Nariman,,the High Court,Bombay Snuff,Delhi,Oudh,,,Bombay Snuff,Section 35G,,1981,,,two hundred rupees,,second,2
968805,J ,A N ,Court,,Madhya Pradesh,,747,,C A No 134,Act,,1964,,,,3 pies,first,1
374340,Ranjit Singh s,,Court,Kanals 10 Marias,Punjab,,,,Ors ,Section 6 of the Act,,one year,,10 ,5 25 907 53,,,28 12 1979
161939,Ruma Pal,,Court,,Laghu Udhyog Bharati,,,,Sainik Motor Jodhpur Vs The State of Rajasthan 1962,Act,,1994,,five per cent,,,first,1
73767384,Vishal,,Assessee,,India,,,, The Rajasthan Incentive Scheme for BPO Centers and KPO Centers 2011 ,the Income Tax Rules,,1962,,50 68 ,,,first,42
1798615,Hegde,,the High Court,,N Santosh,,,,Charge No 1,the Rules and out of 279,,1911,,,,,first,one
68799740,Sanjay Dalia,Indian,Plaintiff,A 258,Mumbai,,,,Suit No 632 of 2014,Section 20,,June 2016,05 25 12,,,a few hundred miles,first,2
1195618,R Garg,,Court,,New Delhi,,,,,the Designs Act,,1911,,,,,,more than fifty
1439704,Sharp,,Board,Cal 233 the Division Bench,India,Sun,Sharp Tools ,,Sharp Tools ,the Copyright Act,,1957,,,,,first,two
1519371,R V Raveendran,Roman,CBSE,,Goa,Andaman,,the Secondary School Examination 2008,the All India Pre Medical Test All India Engineering Entrance Examination and Jawahar Navodaya Vidyalaya s Selection Test ,Act,,2011,the working hours,75 ,,,third,1
138826371,Singh,,Petitioner,,,,,,any Afdavit in Reply to any such Arbitration Application,Section 9,,3 14th,11 26 13,,,,2nd,2
1986966,Desai,Muffasil,Court,,AYYANGAR,,Muffasil,,Chotalal First Appeal No 737,the Civil Procedure Code,,1964,,six per cent,13 689,,first,1
821579,J B Dadachanji,Hindu,the Central Board of Revenue,Bar,Bombay,,,,,the Finance Act,,1956,,,one lakh of rupees,,second,34
1416283,Bill,Indian,Court,197,India,Territory,Rubicon,Lok Sabha ,Special Courts Bill,Art 14,,1972,675 p m ,,Rs 24 000 to Rs 30 000,,first,1
1052178,Pat,,the Supreme Court,,,,,,The State of Bihar,Section 203 of the Code of Criminal Procedure,,the 9th December 1970,,,,,second,50
37934,P Sathasivam,,CLB,,Punjab,,Annexure P 2,,SML,Section 50 of the Arbitration Act,,2006,,17 45 ,,,second,4
1850663,S Rajendra Babu,,the High Court,SC 243,Karnataka,,Commercial Plywoods,,,the Registrar under the Trade and Merchandise Marks Act,Malayalam,1993,,,58 85 lakhs,,first,two
1115541,Ashok Kumar Yadav,,Court,,Kuladhipati,,Class II,,the IInd Class,Rules,,1982,a few minutes,5 per cent,40 marks,,1st,4
1578200,Dewar,,Court,,Q C ,,,the Second Schedule,Ors ,the Rent Act,English,1989,20 000 p m ,fifty per cent,,,third,1
1521407,Kalyan Chandra Sarkar,,Court,Ankur Hotel,Patna,,SC 1184,,,Article 21,,2004,23 9 2002,,,,first,one
612964,Khanna,German,BLW,,India,,BLW SHAMA ,,,Agreement,,ten years,,one per cent,1971 81 I T R 243,,third,5
1120277,Iyer,,State,,Kerala,,,,Civil Writ No 1376,Act,,2005,,,30 000,,second,1
936398,Shroff,,the High Court,Gwalior Bench,SIKRI,,9G,,,the Opium Act,,1955,,,,,Thirdly,11
1706612,Mr Lall,,Court,,Jamnagar,, Super Cup , Super Cup , Super Cup ,sub Rule 3 of Rule 1,,1997,,,,,,5
10239019,Ramesh Kumari,,Court,Cal 478,States,,Code,the General Diary Station Diary Daily Diary,General Diary,Section 154 of the Code,,1861,24 hours,over 50 ,,about 60 lakh,first,1
913118,Dilip N Shroff,,CIT,,Gujarat,,,,,the Income Tax Act,,year,,thirty six per cent,,,Secondly,5
1963322,Rao,Indian,the Supreme Court,London Airport,India,,Nopal,,the Collector of Customs,the Customs Act,English,1962,twenty lour hours,,,,first,2
1319506,Kirloskar,South African,Kirloskar Group of Companies ,,Pune,,Kirloskar,,Suit No 25,Act,English,1994,,,212 crores,,1st,2
91088,Moolgaonkar,Indian,Telco,,India,Europe,Henricot,,,Sub clause,,15 years,,50 ,Rs 80 lakhs,,first,two
115718142,Raja Rani ,Tamil,Court,Cat 951,India,,the Original Application Nos 710,the Film Festivals,Directed by Atlee,the Copyright Act,English,1957,22 minutes and 40 seconds,,,,first,4
973363,Subodh Gopal Bose,American,State,A C 381,India,,Touzine,the three Round Table Conferences,Mukherjea J ,Constitution,English,1950,a moment,,,,first,1
1655935,Plaintiff,American,Plaintiff,Brigade Road,India,,Class 12,the Auto Expo 2006,LUXURIA,Section 29,English,2010,,,,,first,12
585040,N Murari,,Court,Hotel Seema,Goa,the Vagator Beach,A 1,Holi,Exhibit No 112,Section 34 of the Indian Penal Code,,01 03 1999,about 30 to 45 minutes,,one rupee,1 5 cms,first,two
511635,Mishra,,Complainant,A3,Nagawwa,,DL2 Amino Butanol,,Special Leave Petition,Agreement,,1998,,,,15 210 kgs,first,A1
630125,Dayananda,,the Labour Court,,Delhi,,,,Anr ,Clause 16 of the Bipartite Settlement,,30 days,a moment,,,,,12 2 1992
1901943,Narayan Hari Naik,,Court,,Nathnagar,the Paithan Dam,the Spl Suit,the Short Cause Suit,,No 57 22,,No 57 22,,5 ,1 13 27 298 16,,first,two
162878090,Chagla,Indian,CCI,Ahura Centre,India,,LM Ericsson,the 2015 SLA,Ors ,the Competition Act,,2015,minutes,18 ,Rs 117 46 crores,Rs 266 per,first,3
1695291,Tripathi,,Court,,India,,,,Jansatta,Act,,2007,minute,,Rs 50 000,,first,2
1847057,Adhunik Steels,,Private Limited,,Sundargarh,Adhunik Steels,AC 210,, Comments and Conclusions ,Section 9 of the Act,,1960,,,,,9th,one
891864,Nagawwa,,the High Court,,Patna,,120 B,,Hridaya Ranjan Prasad Verma Ors v State of Bihar Anr,Section 482 Cr P C ,,2000,,,Rs 15 00 lacs,400 ton,second,2
794450,Shri Dhorde,,Trust,The Division Bench,Shrigonda,District Ahmednagar,,AIR 1974 SC 2123,,Section 88B,,one year,13 52 53,,,6 hectares,first,2
